,0
0,<s>
1,<pad>
2,</s>
3,<unk>
4,<mask>
5,!
6,""""
7,#
8,$
9,%
10,&
11,'
12,(
13,)
14,*
15,+
16,","
17,-
18,.
19,/
20,0
21,1
22,2
23,3
24,4
25,5
26,6
27,7
28,8
29,9
30,:
31,;
32,<
33,=
34,>
35,?
36,@
37,A
38,B
39,C
40,D
41,E
42,F
43,G
44,H
45,I
46,J
47,K
48,L
49,M
50,N
51,O
52,P
53,Q
54,R
55,S
56,T
57,U
58,V
59,W
60,X
61,Y
62,Z
63,[
64,\
65,]
66,^
67,_
68,`
69,a
70,b
71,c
72,d
73,e
74,f
75,g
76,h
77,i
78,j
79,k
80,l
81,m
82,n
83,o
84,p
85,q
86,r
87,s
88,t
89,u
90,v
91,w
92,x
93,y
94,z
95,{
96,|
97,}
98,~
99,¡
100,¢
101,£
102,¤
103,¥
104,¦
105,§
106,¨
107,©
108,ª
109,«
110,¬
111,®
112,¯
113,°
114,±
115,²
116,³
117,´
118,µ
119,¶
120,·
121,¸
122,¹
123,º
124,»
125,¼
126,½
127,¾
128,¿
129,À
130,Á
131,Â
132,Ã
133,Ä
134,Å
135,Æ
136,Ç
137,È
138,É
139,Ê
140,Ë
141,Ì
142,Í
143,Î
144,Ï
145,Ð
146,Ñ
147,Ò
148,Ó
149,Ô
150,Õ
151,Ö
152,×
153,Ø
154,Ù
155,Ú
156,Û
157,Ü
158,Ý
159,Þ
160,ß
161,à
162,á
163,â
164,ã
165,ä
166,å
167,æ
168,ç
169,è
170,é
171,ê
172,ë
173,ì
174,í
175,î
176,ï
177,ð
178,ñ
179,ò
180,ó
181,ô
182,õ
183,ö
184,÷
185,ø
186,ù
187,ú
188,û
189,ü
190,ý
191,þ
192,ÿ
193,Ā
194,ā
195,Ă
196,ă
197,Ą
198,ą
199,Ć
200,ć
201,Ĉ
202,ĉ
203,Ċ
204,ċ
205,Č
206,č
207,Ď
208,ď
209,Đ
210,đ
211,Ē
212,ē
213,Ĕ
214,ĕ
215,Ė
216,ė
217,Ę
218,ę
219,Ě
220,ě
221,Ĝ
222,ĝ
223,Ğ
224,ğ
225,Ġ
226,ġ
227,Ģ
228,ģ
229,Ĥ
230,ĥ
231,Ħ
232,ħ
233,Ĩ
234,ĩ
235,Ī
236,ī
237,Ĭ
238,ĭ
239,Į
240,į
241,İ
242,ı
243,Ĳ
244,ĳ
245,Ĵ
246,ĵ
247,Ķ
248,ķ
249,ĸ
250,Ĺ
251,ĺ
252,Ļ
253,ļ
254,Ľ
255,ľ
256,Ŀ
257,ŀ
258,Ł
259,ł
260,Ń
261,Ġl
262,os
263,Ġp
264,Ġc
265,er
266,ar
267,Ġa
268,nt
269,Ġs
270,as
271,ue
272,ci
273,on
274,el
275,or
276,re
277,ad
278,Ġm
279,st
280,Ġla
281,al
282,que
283,an
284,Ã³
285,Ġt
286,un
287,Ġy
288,Ġque
289,ent
290,in
291,Ġel
292,ÃŃ
293,ic
294,id
295,Ġn
296,Ã¡
297,Ġun
298,Ã³n
299,Ġh
300,om
301,ra
302,ro
303,Ġcon
304,est
305,Ġse
306,di
307,Ġf
308,Ġv
309,aci
310,am
311,em
312,Ġre
313,do
314,Ġlos
315,ec
316,Ġpar
317,it
318,Ġest
319,le
320,Ġo
321,del
322,Ã©
323,Ġsu
324,im
325,Ġdel
326,ente
327,ado
328,ab
329,ol
330,Ġcom
331,ie
332,ĠC
333,Ġal
334,Ġpor
335,ĠE
336,at
337,Ġb
338,Ġlas
339,is
340,il
341,Ġpara
342,Ġg
343,aciÃ³n
344,Ġin
345,iv
346,Ã±
347,ĠA
348,Ġuna
349,nte
350,sp
351,ĠP
352,Ġno
353,ĠS
354,ÃŃa
355,Ġdi
356,ul
357,Ġme
358,âĢ
359,te
360,ac
361,ir
362,ien
363,Ġpro
364,ĠM
365,one
366,qu
367,ta
368,se
369,ist
370,ig
371,ici
372,to
373,io
374,Ã¡s
375,idad
376,Ġper
377,ĠL
378,ur
379,ones
380,res
381,ada
382,Ġlo
383,ia
384,uc
385,od
386,iz
387,lo
388,Ãº
389,ale
390,ciÃ³n
391,sc
392,ier
393,ex
394,Ġac
395,la
396,ĠD
397,Ġcu
398,Ġco
399,ica
400,ando
401,ib
402,go
403,nci
404,Ġcomo
405,emp
406,ient
407,Ġ(
408,Ġ1
409,ales
410,Ġex
411,ido
412,ĠmÃ¡s
413,et
414,Ġ2
415,ĠT
416,ut
417,ce
418,orm
419,us
420,..
421,Ġte
422,era
423,nd
424,aj
425,esp
426,Ġpr
427,uest
428,ados
429,ico
430,ĠR
431,Ġha
432,ore
433,da
434,ran
435,bre
436,Ġser
437,ant
438,ĠB
439,Ġle
440,Ġr
441,um
442,Ġj
443,int
444,oc
445,ed
446,Ġso
447,iÃ³n
448,ras
449,ĠG
450,ero
451,ores
452,ĠN
453,eb
454,ura
455,ĠI
456,Ġtra
457,ĠâĢ
458,Ġpue
459,ĠF
460,Ġent
461,Ġpre
462,Ġcomp
463,Ġap
464,Ã¡n
465,ios
466,esc
467,ros
468,Ġcont
469,gu
470,so
471,ot
472,ud
473,Ġesp
474,ve
475,iento
476,iene
477,mo
478,amb
479,imp
480,Ġqu
481,uer
482,Ġsi
483,ante
484,ncia
485,ect
486,na
487,eci
488,ap
489,bl
490,no
491,Ġint
492,les
493,ner
494,ez
495,âĢĿ
496,ip
497,ej
498,00
499,ida
500,nc
501,Ġsus
502,uy
503,ho
504,aÃ±
505,ĠH
506,amos
507,ece
508,ct
509,amente
510,Ġot
511,ĠV
512,Ġar
513,Ġeste
514,Ġhac
515,ns
516,emos
517,onal
518,aciones
519,ĠJ
520,Ġhab
521,ĠaÃ±
522,Ã©n
523,Ġrec
524,Ġtod
525,Ġpued
526,ĠU
527,ora
528,ĠâĢľ
529,Ġpe
530,Ġimp
531,entes
532,per
533,ĠEl
534,ay
535,gar
536,Ġpero
537,Ġam
538,if
539,Ġpuede
540,odo
541,ust
542,ef
543,adas
544,enc
545,Ġsin
546,ere
547,Ġcas
548,unt
549,Ġlle
550,ara
551,ario
552,Ġson
553,Ġver
554,Ã©s
555,ĠLa
556,aliz
557,Ġentre
558,Ġpers
559,ambi
560,ult
561,Ġpas
562,Ġenc
563,Ġpod
564,El
565,za
566,ort
567,gun
568,ver
569,dos
570,ĠO
571,Ġesta
572,Ãºn
573,nos
574,Ġas
575,Ġsobre
576,ep
577,Ġtiene
578,ĠÂ
579,las
580,los
581,ana
582,eg
583,Ġcar
584,ento
585,Ġesc
586,Ġmis
587,01
588,icos
589,Ġsol
590,Ġman
591,uch
592,ina
593,Ġob
594,ĠEst
595,Ġor
596,ivo
597,Ġpres
598,ma
599,deb
600,form
601,Ġemp
602,ciones
603,ev
604,uev
605,...
606,dad
607,icas
608,Ġnos
609,Ġcons
610,Ġnuest
611,ch
612,ne
613,ge
614,Ġdeb
615,uent
616,Ġmi
617,ond
618,Ġact
619,ual
620,Ġad
621,Ġya
622,baj
623,duc
624,up
625,rar
626,mente
627,cia
628,Ġmuy
629,ga
630,Ġcre
631,oy
632,ambiÃ©n
633,Ġform
634,aba
635,Ġtodo
636,co
637,ca
638,eces
639,ub
640,erm
641,ador
642,Ġprim
643,Ġpos
644,lar
645,ide
646,Ġten
647,Ġ3
648,"Ġ"""
649,ano
650,tos
651,sd
652,La
653,Ġpa
654,ont
655,Ġsal
656,esd
657,ĠEn
658,esde
659,asta
660,cul
661,Ġfue
662,ter
663,Ġtu
664,Ġab
665,Ġinc
666,Ġres
667,ias
668,Ġmej
669,sa
670,Ġinter
671,ista
672,Ġfin
673,Ġperson
674,ĠestÃ¡
675,Ġpart
676,ÃŃas
677,Ġnuev
678,pl
679,Ġmar
680,Ġcol
681,Ġ201
682,Ġtrabaj
683,udi
684,og
685,Ġcor
686,jo
687,Ġprop
688,idade
